((1414, 1415), (5, 5))
((1902, 448), (5, 5))
((379, 1959), (5, 5))
((132, 479), (5, 5))
((541, 107), (5, 5))
((1133, 1500), (5, 5))
((1311, 468), (5, 5))
((2185, 1500), (5, 5))
((448, 472), (5, 5))
((621, 249), (5, 5))
((2062, 735), (5, 5))
((739, 393), (5, 5))
((1829, 940), (5, 5))
((117, 2537), (5, 5))
((1543, 1881), (5, 5))
((70, 2184), (5, 5))
((264, 844), (5, 5))
((97, 1353), (5, 5))
((2592, 793), (5, 5))
((735, 739), (5, 5))
((1226, 807), (5, 5))
((114, 2288), (5, 5))
((1826, 448), (5, 5))
((735, 1881), (5, 5))
((844, 472), (5, 5))
((264, 1902), (5, 5))
((1133, 2185), (5, 5))
((1237, 739), (5, 5))
((1904, 1960), (5, 5))
((259, 2537), (5, 5))
((1549, 2286), (5, 5))
((1955, 1956), (5, 5))
((1237, 735), (5, 5))
((1543, 739), (5, 5))
((2287, 2288), (5, 5))
((1543, 735), (5, 5))
((1276, 1962), (5, 5))
((97, 661), (5, 5))
((844, 1902), (5, 5))
((238, 1828), (5, 5))
((220, 913), (5, 5))
((739, 1881), (5, 5))
((132, 904), (5, 5))
((117, 259), (5, 5))
((2568, 1023), (3, 3))
((264, 1826), (5, 5))
((1896, 1897), (5, 5))
((264, 472), (5, 5))
((203, 857), (4, 4))
((540, 113), (5, 5))
((793, 1896), (5, 5))
((388, 2497), (5, 5))
((1354, 371), (5, 5))
((2275, 1954), (5, 5))
((1360, 904), (5, 5))
((1168, 1955), (5, 5))
((1553, 371), (5, 5))
((739, 1958), (5, 5))
((854, 1884), (4, 5))
((801, 1961), (5, 5))
((661, 1353), (5, 5))
((661, 344), (5, 5))
((114, 2506), (5, 5))
((2269, 2270), (5, 5))
((1650, 971), (5, 5))
((720, 371), (5, 5))
((129, 701), (5, 5))
((113, 747), (5, 5))
((371, 1415), (5, 5))
((1312, 904), (5, 5))
((132, 1959), (5, 5))
((643, 2407), (5, 5))
((1549, 119), (5, 5))
((1028, 661), (5, 5))
((1226, 1956), (5, 5))
((720, 1441), (5, 5))
((371, 1414), (5, 5))
((1269, 1880), (5, 5))
((1128, 1954), (5, 5))
((1128, 2275), (5, 5))
((2287, 826), (5, 5))
((2275, 1441), (5, 5))
((370, 1414), (5, 5))
((1579, 1182), (5, 5))
((370, 1415), (5, 5))
((67, 282), (5, 5))
((1824, 1826), (5, 5))
((661, 1883), (5, 5))
((1104, 597), (0, 3))
((647, 468), (5, 5))
((2592, 1903), (5, 5))
((1183, 472), (5, 5))
((2270, 1414), (5, 5))
((2273, 1441), (5, 5))
((1226, 1955), (5, 5))
((1237, 1958), (5, 5))
((540, 747), (5, 5))
((1826, 1829), (5, 5))
((1182, 1183), (5, 5))
((1113, 107), (5, 5))
((703, 2497), (5, 5))
((132, 379), (5, 5))
((1128, 1441), (5, 5))
((1899, 388), (5, 5))
((1113, 1650), (5, 5))
((1183, 1825), (5, 5))
((203, 854), (4, 4))
((113, 1884), (5, 5))
((904, 1959), (5, 5))
((1441, 1954), (5, 5))
((661, 1884), (5, 5))
((107, 971), (5, 5))
((854, 857), (4, 4))
((2375, 371), (5, 5))
((2269, 370), (5, 5))
((735, 1958), (5, 5))
((793, 1902), (5, 5))
((793, 1903), (5, 5))
((1827, 1828), (5, 5))
((371, 1441), (5, 5))
((807, 1955), (5, 5))
((1097, 857), (4, 4))
((2061, 735), (5, 5))
((1962, 1963), (5, 5))
((645, 1898), (5, 5))
((1227, 1269), (5, 5))
((807, 1956), (5, 5))
((1578, 2497), (5, 5))
((132, 1022), (5, 5))
((720, 392), (5, 5))
((1881, 1958), (5, 5))
((67, 2628), (5, 5))
((1115, 470), (4, 4))
((1902, 1904), (5, 5))
((379, 904), (5, 5))
((2270, 1354), (5, 5))
((1829, 1902), (5, 5))
((265, 1441), (5, 5))
((1313, 2407), (5, 5))
((2269, 1415), (5, 5))
((671, 451), (5, 5))
((661, 935), (5, 5))
((559, 1182), (5, 5))
((703, 801), (5, 5))
((1182, 472), (5, 5))
((1824, 448), (5, 5))
((193, 458), (5, 5))
((676, 2235), (5, 5))
((20, 2375), (5, 5))
((2323, 344), (4, 5))
((1579, 559), (5, 5))
((643, 1167), (5, 5))
((1826, 1827), (5, 5))
((2270, 2375), (5, 5))
((119, 646), (5, 5))
((854, 935), (4, 5))
((1579, 1183), (5, 5))
((1179, 1955), (5, 5))
((645, 1899), (5, 5))
((701, 739), (5, 5))
((1314, 890), (5, 5))
((360, 1409), (5, 5))
((1311, 1313), (5, 5))
((1555, 1953), (5, 5))
((1097, 470), (4, 4))
((1960, 2491), (5, 5))
((2060, 735), (5, 5))
((840, 2481), (5, 5))
((1538, 2185), (5, 5))
((1269, 890), (5, 5))
((119, 379), (5, 5))
((709, 1896), (5, 5))
((1060, 1441), (5, 5))
((612, 2235), (5, 5))
((701, 735), (5, 5))
((2621, 1959), (5, 5))
((854, 344), (4, 5))
((1313, 468), (5, 5))
((1537, 441), (5, 5))
((1538, 1500), (5, 5))
((379, 1022), (5, 5))
((1825, 472), (5, 5))
((1360, 1960), (5, 5))
((1897, 1903), (5, 5))
((119, 1959), (5, 5))
((1903, 1960), (5, 5))
((1183, 1824), (5, 5))
((703, 1961), (5, 5))
((2269, 392), (5, 5))
((676, 410), (5, 5))
((540, 67), (5, 5))
((1415, 392), (5, 5))
((540, 2527), (5, 5))
((2184, 441), (5, 5))
((840, 1903), (5, 5))
((1902, 1903), (5, 5))
((1276, 458), (5, 5))
((1538, 1133), (5, 5))
((801, 1470), (5, 5))
((2062, 701), (5, 5))
((128, 233), (5, 5))
((220, 376), (5, 5))
((128, 392), (5, 5))
((1269, 1314), (5, 5))
((70, 441), (5, 5))
((661, 1881), (5, 5))
((1455, 441), (5, 5))
((1226, 2528), (5, 5))
((107, 1650), (5, 5))
((645, 1824), (5, 5))
((1619, 1441), (5, 5))
((193, 441), (5, 5))
((1097, 854), (4, 4))
((1537, 1455), (5, 5))
((2285, 451), (5, 5))
((559, 472), (5, 5))
((1246, 857), (4, 4))
((1579, 2029), (5, 5))
((750, 1441), (5, 5))
((20, 2374), (5, 5))
((645, 1826), (5, 5))
((1360, 1904), (5, 5))
((1899, 1902), (5, 5))
((1630, 1269), (5, 5))
((541, 1896), (5, 5))
((119, 1901), (5, 5))
((1179, 410), (5, 5))
((1619, 2269), (5, 5))
((20, 2270), (5, 5))
((709, 1903), (5, 5))
((1827, 1409), (5, 5))
((1122, 458), (5, 5))
((747, 282), (5, 5))
((1954, 1958), (5, 5))
((1824, 1825), (5, 5))
((1619, 392), (5, 5))
((2284, 2285), (5, 5))
((645, 1267), (5, 5))
((1954, 1955), (5, 5))
((2235, 1955), (5, 5))
((370, 1408), (5, 5))
((1549, 1901), (5, 5))
((1360, 2491), (5, 5))
((1267, 1824), (5, 5))
((857, 470), (4, 4))
((241, 1441), (5, 5))
((1954, 1956), (5, 5))
((249, 1884), (5, 5))
((1553, 1409), (5, 5))
((1312, 1313), (5, 5))
((590, 1441), (3, 5))
((1097, 1115), (4, 4))
((935, 451), (5, 5))
((472, 2029), (5, 5))
((1899, 2491), (5, 5))
((854, 470), (4, 4))
((590, 1954), (3, 5))
((129, 441), (5, 5))
((1579, 47), (5, 5))
((1543, 2029), (5, 5))
((1884, 1958), (5, 5))
((647, 904), (5, 5))
((1825, 392), (5, 5))
((20, 2269), (5, 5))
((47, 163), (5, 5))
((2286, 1901), (5, 5))
((1311, 1312), (5, 5))
((1884, 1885), (5, 5))
((1700, 1441), (5, 5))
((1183, 1354), (5, 5))
((1650, 1360), (5, 5))
((1953, 1470), (5, 5))
((1953, 458), (5, 5))
((1553, 1408), (5, 5))
((1555, 2363), (5, 5))
((125, 458), (5, 5))
((647, 1360), (5, 5))
((1707, 1441), (5, 5))
((220, 817), (5, 2))
((661, 807), (5, 5))
((1555, 458), (5, 5))
((128, 370), (5, 5))
((1538, 643), (5, 5))
((1824, 1470), (5, 5))
((1441, 1958), (5, 5))
((1553, 1827), (5, 5))
((801, 2516), (5, 5))
((676, 1955), (5, 5))
((2284, 1901), (5, 5))
((128, 2270), (5, 5))
((1828, 1409), (5, 5))
((1360, 1902), (5, 5))
((1826, 1409), (5, 5))
((1824, 360), (5, 5))
((541, 647), (5, 5))
((1828, 1408), (5, 5))
((2285, 2286), (5, 5))
((1555, 1470), (5, 5))
((661, 1880), (5, 5))
((661, 1885), (5, 5))
((1276, 1022), (5, 5))
((1115, 203), (4, 4))
((1354, 400), (5, 5))
((1826, 1408), (5, 5))
((1168, 1022), (5, 5))
((541, 1022), (5, 5))
((1880, 479), (5, 5))
((645, 1901), (5, 5))
((648, 1441), (5, 5))
((1538, 747), (5, 5))
((2272, 1441), (5, 5))
((2271, 1441), (5, 5))
((1961, 1022), (5, 5))
((1962, 1022), (5, 5))
((1963, 1022), (5, 5))
((541, 1360), (5, 5))
((541, 904), (5, 5))
((125, 2363), (5, 5))
((671, 441), (5, 5))
((1829, 1408), (5, 5))
((344, 441), (5, 5))
((1901, 1954), (5, 5))
((2269, 1903), (5, 5))
((1898, 379), (5, 5))
((826, 2528), (5, 5))
((1537, 119), (5, 5))
((540, 1441), (5, 5))
((647, 1267), (5, 5))
